ngram,phones,words,file,start_s,end_s
triphone,t e o,arrêtée au,1-2.wav,10.880,11.260
triphone,e o f,arrêtée au feu,1-2.wav,11.010,11.450
triphone,o f ø,au feu,1-2.wav,11.140,11.520
triphone,f ø ʁ,feu rouge,1-2.wav,11.260,11.640
triphone,ø ʁ u,feu rouge,1-2.wav,11.450,11.840
triphone,ʁ u ʒ,rouge,1-2.wav,11.520,12.090
triphone,u ʒ l,rouge la,1-2.wav,11.640,12.910
triphone,ʒ l a,rouge la,1-2.wav,11.840,13.000
triphone,l a v,la vaisselle,1-2.wav,12.830,13.090
triphone,a v ɛ,la vaisselle,1-2.wav,12.910,13.160
triphone,v ɛ s,vaisselle,1-2.wav,13.000,13.310
triphone,ɛ s ɛ,vaisselle,1-2.wav,13.090,13.400
triphone,s ɛ l,vaisselle,1-2.wav,13.160,13.550
triphone,ɛ l p,vaisselle propre,1-2.wav,13.310,13.600
triphone,l p ʁ,vaisselle propre,1-2.wav,13.400,13.690
triphone,p ʁ ɔ,propre,1-2.wav,13.550,13.800
triphone,ʁ ɔ p,propre,1-2.wav,13.600,13.890
triphone,ɔ p ʁ,propre,1-2.wav,13.690,14.050
triphone,p ʁ ɛ,propre est,1-2.wav,13.800,14.240
triphone,ʁ ɛ m,propre est mise,1-2.wav,13.890,14.350
triphone,ɛ m i,est mise,1-2.wav,14.140,14.470
triphone,m i z,mise,1-2.wav,14.240,14.580
triphone,i z s,mise sur,1-2.wav,14.350,14.740
triphone,z s y,mise sur,1-2.wav,14.470,14.790
triphone,s y ʁ,sur,1-2.wav,14.580,14.870
triphone,y ʁ l,sur l'évier,1-2.wav,14.740,14.940
triphone,ʁ l e,sur l'évier,1-2.wav,14.790,15.010
triphone,l e v,l'évier,1-2.wav,14.870,15.100
triphone,e v j,l'évier,1-2.wav,14.940,15.180
triphone,v j e,l'évier,1-2.wav,15.010,15.390
diphone,l œ,leur,2-1.wav,0.300,0.500
diphone,œ ʁ,leur,2-1.wav,0.420,0.590
diphone,ʁ ʃ,leur chienne,2-1.wav,0.500,0.770
diphone,ʃ j,chienne,2-1.wav,0.590,0.820
diphone,j ɛ,chienne,2-1.wav,0.770,0.950
diphone,ɛ n,chienne,2-1.wav,0.820,1.060
diphone,n a,chienne a,2-1.wav,0.950,1.220
diphone,a t,a toute,2-1.wav,1.090,1.850
diphone,t u,toute,2-1.wav,1.780,1.950
diphone,u t,toute,2-1.wav,1.850,2.030
diphone,t l,toute la,2-1.wav,1.950,2.180
diphone,l a,la,2-1.wav,2.030,2.260
diphone,a n,la nuit,2-1.wav,2.180,2.390
diphone,n ɥ,nuit,2-1.wav,2.260,2.420
diphone,ɥ i,nuit,2-1.wav,2.390,2.640
diphone,i p,nuit pour,2-1.wav,2.420,3.420
diphone,p u,pour,2-1.wav,3.360,3.460
diphone,u ʁ,pour,2-1.wav,3.420,3.540
diphone,ʁ s,pour se,2-1.wav,3.460,3.650
diphone,s ə,se,2-1.wav,3.540,3.670
diphone,ə p,se protéger,2-1.wav,3.650,3.820
